,Coal,Copper,Cotton,Fish_Meal,Hard_Logs,Hides,Iron_Ore,Nickel,Rubber,Soft_Logs,Soft_Sawn,Tin,Uranium,WTI_Crude,Zinc
1/1/1992,39.5,2197.085799,57.08166631,535.6073947,191.6800028,69.43979899,14.31,7616.530599,36.88496399,127.943339,223.7019755,5577.412305,8.133333333,18.89,1170.302327
4/1/1992,39.5,2243.307937,60.82166672,544.7015344,189.4033305,77.57504272,14.31,7318.08724,39.36961238,144.6129506,241.0677948,6193.802563,7.683333333,21.19,1356.031982
7/1/1992,39.5,2486.78973,60.56333669,519.2399006,187.5766652,75.71996053,14.31,7238.165365,39.87342962,168.6607819,231.5847473,6802.681272,8.183333333,21.66,1350.309489
10/1/1992,35.75,2212.065448,53.26916631,471.3331093,218.1033376,80.72429657,14.31,5889.135091,40.1958046,168.6445872,242.2231649,5842.477582,10.25,20.48,1090.692668
1/1/1993,32.33333333,2209.591855,59.76548386,450.2410883,290.6933339,80.91948446,12.58,5991.254395,40.04700597,200.0139821,247.3050842,5790.718216,10.03333333,19.80666667,1045.986938
4/1/1993,31,1870.281003,59.90777461,398.7667569,492.6800028,79.63484701,12.58,5769.869303,37.03915914,241.943339,284.216095,5405.809357,10.25,19.77,971.1634928
7/1/1993,31,1912.220398,56.21750005,384.5025606,433.8299967,78.75685628,12.58,4722.567708,37.11452993,225.2487081,286.3276876,4769.409117,10.05,17.79333333,897.5429281
10/1/1993,31,1667.731036,56.18690364,384.5648169,338.7166646,80.80699921,12.58,4748.976563,36.62825012,204.5305888,291.9166768,4704.252128,9.975,16.45,941.1642456
1/1/1994,30.5,1861.773433,76.56083171,395.8685425,302.8999939,76.37015533,11.45,5668.194173,38.94059881,212.7380371,298.651123,5266.228613,9.4,14.81,968.6513062
4/1/1994,31.5,2129.653187,85.16249847,388.374855,350.7666728,86.94444529,11.45,5923.388509,45.03174845,199.5966644,313.0099996,5458.055043,9.25,17.78333333,949.0187988
7/1/1994,33.1,2453.943013,78.08249919,409.7487695,330.2865601,91.32865906,11.45,6152.463053,57.13655217,196.5200043,293.6233317,5264.332672,9.2,18.49333333,967.6991577
10/1/1994,34.1,2776.756387,79.05694326,418.6385588,281.3333333,92.61537425,11.45,7583.684245,63.15715917,196.0700022,292.9266663,5851.292227,9.833333333,17.64666667,1107.523438
1/1/1995,37.68333333,2931.128677,101.7375005,464.2811916,262.1327159,93.1631724,12.27,8516.610514,78.89386241,216.5633341,291.7666728,5711.641176,11.24166667,18.37333333,1069.060099
